Lat,Long,Condition Site
29.150171,15.904955,Fair
29.082282,15.942165,Destroyed
29.038643,15.786633,Very Bad
29.149075,16.156858,Unknown
29.073823,16.278519,Unknown
29.06619,16.180138,Poor
29.080886,16.270724,Poor
29.065392,16.217868,Poor
29.142679,15.926675,Very Bad
29.072898,16.271884,Poor
29.063084,16.212425,Fair
29.022467,15.825352,Poor
29.075459,16.279386,Very Bad
29.074391,16.249752,Very Bad
29.086733,15.960319,Destroyed
29.15144,16.115577,Poor
29.074736,16.271343,Poor
29.086423,16.182714,Destroyed
29.072529,16.231116,Poor
29.085549,15.958776,Very Bad
29.075838,16.257732,Fair
29.037372,15.789153,Very Bad
29.07728,15.935429,Destroyed
29.145351,16.169459,Poor
29.127686,15.935016,Good
29.07534,16.267408,Poor
29.159636,15.8903,Poor
29.082546,15.94398,Destroyed
29.069474,16.181765,Poor
29.045759,15.799935,Poor
29.147118,16.137591,Poor
29.068519,16.283183,Destroyed
29.07151,16.207482,Poor
29.073804,16.242606,Very Bad
29.042829,15.781954,Unknown
29.072949,15.830982,Fair
29.072927,16.214815,Destroyed
29.068497,16.184134,Poor
29.122506,15.924604,Poor
29.117947,16.151293,Fair
29.154254,15.898675,Fair
29.068611,16.276588,Poor
29.06776,16.258033,Poor
29.086786,16.322269,Unknown
29.070838,16.244052,Very Bad
29.085049,15.952292,Destroyed
29.152039,16.141287,Fair
29.078486,15.829168,Poor
29.103483,15.811979,Fair
29.146981,16.100084,Unknown
29.177284,16.118111,Unknown
29.149835,16.150881,Poor
29.154151,16.145613,Very Bad
29.086199,15.954108,Very Bad
29.153325,16.112345,Fair
29.177463,16.121387,Unknown
29.076139,16.209862,Very Bad
29.073462,16.237775,Very Bad
29.055465,16.299197,Very Bad
29.051206,15.785458,Very Bad
29.075333,15.955097,Very Bad
29.075007,16.256316,Poor
29.06942,16.260303,Poor
29.075928,15.950284,Very Bad
29.076452,15.928156,Destroyed
29.132184,16.176787,Poor
29.0961,15.970774,Poor
29.062451,16.293441,Poor
29.175581,16.123348,Poor
29.068197,16.226513,Poor
29.112347,15.929418,Very Bad
29.075995,16.217659,Poor
29.075212,16.224505,Poor
29.068837,16.254018,Poor
29.15839,16.111684,Fair
29.12385,16.205974,Very Bad
29.075109,16.253433,Very Bad
29.166084,15.915797,Fair
29.093328,15.952699,Poor
29.13241,15.891566,Poor
29.123056,15.934697,Fair
29.145889,15.920859,Fair
29.065378,15.784619,Unknown
29.144277,15.920871,Unknown
29.125976,15.936178,Destroyed
29.126644,15.937458,Destroyed
29.126787,15.937716,Destroyed
29.151786,16.141334,Poor
28.823098,15.595193,Good
24.961434,10.091025,Very Bad
29.127686,15.935016,Good
29.160484,16.134338,Poor
29.123552,15.934947,Fair
28.850827,15.819126,Fair
29.122323,15.935317,Poor
29.123718,15.934286,Good
28.89045,15.923483,Poor
29.092759,15.957965,Poor
29.090286,15.955025,Poor
29.09523,15.962939,Poor
29.089337,15.943798,Poor
29.086358,15.935377,Destroyed
29.090524,15.941598,Poor
29.089876,15.940449,Poor
29.088208,15.92944,Poor
29.088551,15.92686,Poor
29.153918,16.11287,Poor
29.093115,15.955585,Very Bad
29.121571,15.907024,Fair
28.997033,15.902298,Poor
29.071871,15.798255,Very Bad
